Measurement #,Actual Engine Torque Static at Clutch (Nm),Air Temperature Sensor Voltage[HFM] (V),Air Temperature Sensor Voltage[ICO_DOWN] (V),Averaged Signal Voltage of Fuel Pressure Sensor (V),Battery Temperature (degree C),Blower Switch (   ),Coolant Temperature-ENG_Block (degree C),Coolant Temperature-ENG_Head (degree C),Coolant Temperature(Voltage)-ENG_Block (V),Coolant Temperature(Voltage)-ENG_Head (V),Cruise Control State (   ),Cylinder Balancing Multiple Fuel Mass Correction Value-Cyl[0] (   ),Cylinder Balancing Multiple Fuel Mass Correction Value-Cyl[1] (   ),Cylinder Balancing Multiple Fuel Mass Correction Value-Cyl[2] (   ),Cylinder Balancing Multiple Fuel Mass Correction Value-Cyl[3] (   ),Elec. Fuel Pump Relay (   ),Electrical Fuel Heater Relay Activated (   ),Engine Cooling Fan State (   ),Engine Operating State (   ),Engine Speed (rpm),Exhaust Temperature Sensor 0 Value-Upstream of the Turbo (degree C),Exhaust Temperature Sensor 0 Voltage-Upstream of the Turbo (V),Exhaust Temperature Sensor 1 Value-Upstream of Oxidation Catalyst (degree C),Exhaust Temperature Sensor 1 Voltage-Upstream of Oxidation Catalyst (V),Exhaust Temperature Sensor 2 Value-Upstream of DPF (degree C),Exhaust Temperature Sensor 2 Voltage-Upstream of DPF (V),Exhaust Temperature Sensor 3 Value-Upstream of the SCR (degree C),Exhaust Temperature Sensor 3 Voltage-Upstream of the SCR (V),Filtered Voltage from the Raw Voltage of Water in Fuel Analog Sensor (V),Fuel Correction by Injector Code-Cyl #1 (mg/stroke),Fuel Correction by Injector Code-Cyl #2 (mg/stroke),Fuel Correction by Injector Code-Cyl #3 (mg/stroke),Fuel Correction by Injector Code-Cyl #4 (mg/stroke),Fuel Pressure Set Point Value (MPa),Fuel Pressure Setpoint Maximum Limitation (MPa),Fuel Quantity (mg/stroke),Fuel Temperature Sensor (degree C),Gearbox Neutral Position Status Signal (   ),Immobilizer Status (   ),Intake Gas Temperature at HFM (degree C),Intake Gas Temperature Downstream Intercooler (degree C),Maximal Injection Time (ms),Oil Temperature (degree C),On-board Diagnosis State of the Gearbox by Gearbox Control Unit (   ),Oxygen Sensor Temperture 1 (Upstream) (degree C),Oxygen Sensor Temperture 2 (Downstream) (degree C),Position of Boost Pressure Actuator (%),Rail Pressure (MPa),Raw Voltage of Boost Pressure Sensor (V),Setpoint for the MAIN Injection Quantity (mg/stroke),Setpoint for the POST Injections Quantity[0] (mg/stroke),Setpoint for the POST Injections Quantity[1] (mg/stroke),Setpoint for the POST Injections Quantity[2] (mg/stroke),Setpoint for the PREV Injections Quantity[1] (mg/stroke),Setpoint for the PREV Injections Quantity[2] (mg/stroke),Speed Sensor Information Input State (   ),State of Charge (%),State of Function (V),State of Health (%),Status of Aftersales Particulate Filter Regeneration Process (   ),Status of Glow Control Unit (   ),Time Based Fuel Consumption (L/h),Value of Actual Absolute Brake Boost Pressure (hPa),Vehicle Speed (km/h),Voltage from Differential Pressure Sensor on EGR Valve (V),Voltage from Differential Pressure Sensor on Particulate Filter (V),Voltage Raw Value of Fuel Temperature (V)
514,127.625,2.401,1.803,2.455,24.750,ON,98.828,94.914,0.410,0.367,Standby,1.000,1.000,1.000,1.000,ON,OFF,No Action,Part Load,2231,899.975,2.484,346.850,1.555,326.850,1.523,297.350,1.473,0,-0.608,0.912,0,-0.912,131.970,210.004,23.736,39,OFF,Learnt,21.797,34.906,8,102,0,801.500,799.812,51.436,132.019,2.443,20.268,0.848,0,0,1.112,1.500,CAN and Hardwired,82.812,9.550,99.609,0,OFF,7.668,928.010,125,1.173,1.154,1.652
515,103.250,2.401,1.805,2.070,24.750,ON,99.055,95.359,0.405,0.365,Standby,1.000,1.000,1.000,1.000,ON,OFF,No Action,Part Load,2206,490.600,2.137,347.600,1.559,330.537,1.530,296.600,1.472,0,-0.608,0.912,0,-0.912,117.908,210.004,15.132,39,OFF,Learnt,21.797,34.844,8,102,0,799.812,799.812,61.325,118.958,1.804,4.964,0.772,0,0,1.012,1.212,CAN and Hardwired,82.812,9.550,99.609,0,OFF,7.664,928.010,125,1.191,1.125,1.654
516,-23.625,2.400,1.818,1.373,24.750,ON,99.391,94.125,0.419,0.361,Standby,1.000,1.000,1.000,1.000,ON,OFF,No Action,Fuel Cut Off,2199,392.537,1.637,333.475,1.537,332.787,1.533,295.912,1.471,0,-0.608,0.912,0,-0.912,56.494,210.004,0,39,OFF,Learnt,21.828,34.547,8,102,0,799.812,801.500,62.967,58.685,1.827,0,0,0,0,0,0,CAN and Hardwired,82.812,9.550,99.609,0,OFF,7.632,928.010,124,1.161,1.106,1.654
517,-23.875,2.399,1.831,1.356,24.750,ON,99.836,92.562,0.436,0.356,Standby,1.000,1.000,1.000,1.000,ON,OFF,No Action,Fuel Cut Off,2167,332.787,1.541,313.850,1.504,334.975,1.537,295.225,1.470,0,-0.608,0.912,0,-0.912,55.078,210.004,0,39,OFF,Learnt,21.852,34.219,8,102,0,799.812,801.500,63.887,57.733,1.819,0,0,0,0,0,0,CAN and Hardwired,82.812,9.550,99.609,0,OFF,7.567,928.010,122,1.130,1.101,1.652
518,-23.750,2.397,1.846,1.345,24.750,ON,100.281,92.117,0.441,0.352,Standby,1.000,1.000,1.000,1.000,ON,OFF,No Action,Fuel Cut Off,2143,284.100,1.456,295.225,1.472,337.225,1.541,293.850,1.467,0,-0.608,0.912,0,-0.912,54.364,210.004,0,39,OFF,Learnt,21.875,33.852,8,102,0,799.812,799.812,64.465,57.056,1.770,0,0,0,0,0,0,CAN and Hardwired,82.812,9.550,99.609,0,OFF,7.535,928.010,120,1.132,1.107,1.653
519,-23.625,2.397,1.862,1.322,24.750,ON,97.820,90.656,0.457,0.378,Standby,1.000,1.000,1.000,1.000,ON,OFF,No Action,Fuel Cut Off,2115,251.537,1.396,281.287,1.448,339.412,1.543,293.162,1.466,0,-0.608,0.912,0,-0.912,53.662,210.004,0,39,OFF,Learnt,21.875,33.461,8,102,0,799.812,801.500,70.790,56.531,1.835,0,0,0,0,0,0,CAN and Hardwired,82.812,9.550,99.609,0,OFF,7.502,928.010,119,1.125,1.097,1.653
520,131.125,2.396,1.875,2.229,24.750,ON,91.555,83.836,0.531,0.447,Standby,1.000,1.000,1.000,1.000,ON,OFF,No Action,Part Load,2111,246.912,1.378,273.787,1.432,340.912,1.545,292.475,1.465,0,-0.608,0.912,0,-0.912,104.120,210.004,24.468,39,OFF,Learnt,21.898,33.133,8,102,0,801.500,799.812,54.779,102.625,2.427,21.684,0,0,0,1.212,1.500,CAN and Hardwired,82.812,9.550,99.609,0,OFF,7.499,929.254,118,1.174,1.141,1.653
521,132,2.397,1.876,2.362,24.750,ON,91.891,81.820,0.553,0.443,Standby,1.000,1.000,1.000,1.000,ON,OFF,No Action,Part Load,2117,348.287,1.558,281.287,1.444,341.662,1.548,291.725,1.464,0,-0.608,0.912,0,-0.912,125.446,210.004,24.332,39,OFF,Learnt,21.875,33.102,8,102,0,801.500,801.500,58.340,125.409,2.426,21.632,0,0,0,1.208,1.500,CAN and Hardwired,82.812,9.550,99.609,0,OFF,7.495,929.254,118,1.195,1.155,1.653
522,120.625,2.396,1.881,2.309,24.750,ON,92.227,77.969,0.612,0.439,Standby,1.000,1.000,1.000,1.000,ON,OFF,No Action,Part Load,2122,398.912,1.631,293.850,1.465,343.100,1.550,291.037,1.462,0,-0.608,0.912,0,-0.912,122.003,210.004,23.132,39,OFF,Learnt,21.898,32.984,8,102,0,801.500,801.500,54.280,122.022,2.145,19.352,1.116,0,0,1.196,1.488,CAN and Hardwired,82.812,9.550,99.609,0,OFF,7.492,929.254,119,1.208,1.136,1.653
523,93.500,2.397,1.886,2.116,24.750,ON,92.672,80.477,0.568,0.435,Standby,1.000,1.000,1.000,1.000,ON,OFF,No Action,Part Load,2115,424.225,1.676,300.850,1.479,343.100,1.550,290.350,1.461,0,-0.608,0.912,0,-0.912,108.362,210.004,19.068,39,OFF,Learnt,21.875,32.867,8,102,0,801.500,799.812,59.341,108.405,2.264,14.984,1.520,0,0,1.208,1.460,CAN and Hardwired,82.812,9.550,99.609,0,OFF,7.484,928.010,119,1.140,1.121,1.653
524,197,2.395,1.888,2.710,24.750,ON,92.789,84.172,0.527,0.433,Standby,1.000,1.000,1.000,1.000,ON,OFF,No Action,Part Load,2129,440.100,1.699,305.162,1.486,342.412,1.549,289.662,1.460,0,-0.608,0.912,0,-0.912,134.992,210.004,35.004,39,OFF,Learnt,21.922,32.805,8,102,0,801.500,801.500,48.943,133.533,4.115,38.276,0,0,0,1.100,1.380,CAN and Hardwired,82.812,9.550,99.609,0,OFF,7.513,928.010,119,1.211,1.124,1.652
525,264.500,2.404,1.868,3.080,24.750,ON,93.125,86.188,0.505,0.430,Standby,1.000,1.000,1.000,1.000,ON,OFF,No Action,Part Load,2175,487.912,1.750,321.037,1.511,341.662,1.548,289.662,1.460,0,-0.608,0.912,0,-0.912,174.249,210.004,51.212,39,OFF,Learnt,21.750,33.312,8,101,0,801.500,801.500,55.354,174.445,4.034,48.788,0,0,0,1.100,1.208,CAN and Hardwired,82.812,9.550,99.609,0,OFF,7.549,929.254,121,1.559,1.266,1.652
526,262,2.411,1.857,3.107,24.750,ON,93.008,87.977,0.486,0.431,Standby,1.000,1.000,1.000,1.000,ON,OFF,No Action,Part Load,2214,548.412,1.844,345.350,1.552,339.412,1.545,289.662,1.460,0,-0.608,0.912,0,-0.912,175.501,210.004,50.960,39,OFF,Learnt,21.602,33.586,8,101,0,799.812,799.812,53.648,175.501,3.839,48.672,0,0,0,1.100,1.212,CAN and Hardwired,82.812,9.550,99.609,0,OFF,7.585,929.254,123,1.499,1.279,1.652
527,261.500,2.412,1.847,3.119,24.750,ON,92.789,89.539,0.469,0.433,Standby,1.000,1.000,1.000,1.000,ON,OFF,No Action,Part Load,2250,596.850,1.891,364.350,1.583,338.662,1.543,289.662,1.460,0,-0.608,0.912,0,-0.912,176.752,210.004,50.944,39,OFF,Learnt,21.578,33.828,8,102,0,803.750,801.500,51.794,176.740,3.820,48.672,0,0,0,1.100,1.216,CAN and Hardwired,82.812,9.550,99.609,0,OFF,7.621,929.254,125,1.511,1.306,1.652
528,267.500,2.413,1.837,3.137,24.750,ON,92.336,90.773,0.455,0.438,Standby,1.000,1.000,1.000,1.000,ON,OFF,No Action,Part Load,2288,656.912,1.984,385.412,1.615,338.662,1.543,289.662,1.460,0,-0.608,0.912,0,-0.912,178.137,210.004,52.744,39,OFF,Learnt,21.555,34.062,8,102,0,801.500,799.812,51.511,178.223,3.870,50.424,0,0,0,1.100,1.200,CAN and Hardwired,82.812,9.550,99.609,0,OFF,7.661,929.254,127,1.486,1.309,1.652
529,265.875,2.417,1.824,3.141,24.750,ON,91.781,92.117,0.441,0.444,Standby,1.000,1.000,1.000,1.000,ON,OFF,No Action,Part Load,2331,656.912,1.963,402.975,1.642,339.412,1.544,290.350,1.461,0,-0.608,0.912,0,-0.912,178.491,210.004,52.404,39,OFF,Learnt,21.484,34.398,8,102,0,801.500,799.812,50.938,179.102,3.771,50.080,0,0,0,1.100,1.200,CAN and Hardwired,82.812,9.550,99.609,0,OFF,7.700,929.254,130,1.510,1.304,1.650
530,262.125,2.417,1.808,3.145,24.750,ON,92.453,93.461,0.426,0.437,Standby,1.000,1.000,1.000,1.000,ON,OFF,No Action,Part Load,2362,634.287,1.953,417.600,1.665,343.100,1.549,290.350,1.461,0,-0.608,0.912,0,-0.912,178.656,210.004,51.524,39,OFF,Learnt,21.484,34.789,8,102,0,801.500,801.500,50.516,178.247,3.767,48.452,0,0,0,1.100,1.220,CAN and Hardwired,82.812,9.550,99.609,0,OFF,7.780,929.254,132,1.644,1.260,1.649
531,246.500,2.419,1.794,3.121,24.750,ON,93.125,94.688,0.413,0.430,Standby,1.000,1.000,1.000,1.000,ON,OFF,No Action,Part Load,2395,635.350,1.951,429.225,1.681,347.600,1.558,291.037,1.462,0,-0.608,0.912,0,-0.912,178.101,210.004,46.308,39,OFF,Learnt,21.430,35.117,8,102,0,801.500,799.812,34.003,177.380,2.552,39.456,0,0,0,1.100,1.360,CAN and Hardwired,82.812,9.550,99.609,0,OFF,7.794,929.254,134,1.460,1.287,1.650
532,141.125,2.415,1.793,2.574,24.750,ON,94.461,94.578,0.414,0.415,Const Drive,1.000,1.000,1.000,1.000,ON,OFF,No Action,Part Load,2388,590.850,1.904,420.850,1.674,352.850,1.565,291.037,1.462,0,-0.608,0.912,0,-0.912,133.350,210.004,25.432,39,OFF,Learnt,21.531,35.148,8,102,0,799.812,801.500,51.653,132.404,2.502,22.432,0,0,0,1.100,1.444,CAN and Hardwired,82.812,9.550,99.609,0,OFF,7.798,929.254,134,1.285,1.204,1.649
533,114,2.408,1.790,2.493,24.750,ON,95.805,93.344,0.427,0.400,Const Drive,1.000,1.000,1.000,1.000,ON,OFF,No Action,Part Load,2385,544.537,1.846,408.662,1.654,356.662,1.572,290.350,1.461,0,-0.608,0.912,0,-0.912,135.199,210.004,21.968,39,OFF,Learnt,21.656,35.234,8,102,0,801.500,799.812,53.426,135.236,2.374,18.320,1.276,0,0,1.100,1.444,CAN and Hardwired,82.812,9.550,99.609,0,OFF,7.794,929.254,134,1.249,1.152,1.649
534,113.500,2.406,1.788,2.463,24.750,ON,96.703,93.906,0.421,0.391,Const Drive,1.000,1.000,1.000,1.000,ON,OFF,No Action,Part Load,2382,530.350,1.815,398.912,1.638,361.287,1.580,290.350,1.461,0,-0.608,0.912,0,-0.912,132.410,210.004,21.988,39,OFF,Learnt,21.703,35.266,8,102,0,799.812,801.500,53.426,132.288,2.378,17.888,1.456,0,0,1.100,1.448,CAN and Hardwired,82.812,9.550,99.609,0,OFF,7.790,929.254,133,1.246,1.152,1.649
535,113.750,2.405,1.791,2.467,24.750,ON,97.594,94.352,0.416,0.381,Const Drive,1.000,1.000,1.000,1.000,ON,OFF,No Action,Part Load,2382,598.850,1.908,392.537,1.628,366.600,1.587,289.662,1.460,0,-0.608,0.912,0,-0.912,132.678,210.004,22.028,39,OFF,Learnt,21.727,35.203,8,102,0,799.812,799.812,53.713,132.636,2.472,18.460,1.232,0,0,1.100,1.448,CAN and Hardwired,82.812,9.550,99.609,0,OFF,7.787,929.254,133,1.235,1.154,1.648
536,117.625,2.404,1.794,2.487,24.750,ON,98.266,94.797,0.411,0.374,Const Drive,1.000,1.000,1.000,1.000,ON,OFF,No Action,Part Load,2375,654.725,1.963,386.225,1.620,370.475,1.594,289.662,1.460,0,-0.608,0.912,0,-0.912,134.302,210.004,22.388,39,OFF,Learnt,21.750,35.117,8,102,0,799.812,799.812,53.647,134.345,2.374,18.644,1.160,0,0,1.100,1.448,CAN and Hardwired,82.812,9.550,99.609,0,OFF,7.783,929.254,133,1.201,1.171,1.648
537,115.125,2.402,1.802,2.494,24.750,ON,98.492,95.250,0.406,0.371,Const Drive,1.000,1.000,1.000,1.000,ON,OFF,No Action,Part Load,2375,636.412,1.951,382.287,1.614,374.350,1.600,289.662,1.460,0,-0.608,0.912,0,-0.912,134.277,210.004,22.284,39,OFF,Learnt,21.773,34.938,8,102,0,799.812,799.812,53.424,134.479,2.358,18.936,1.052,0,0,1.100,1.452,CAN and Hardwired,82.812,9.550,99.609,0,OFF,7.776,929.254,133,1.191,1.176,1.648
538,120.625,2.404,1.808,2.523,24.750,ON,98.828,95.469,0.404,0.367,Const Drive,1.000,1.000,1.000,1.000,ON,OFF,No Action,Part Load,2375,768.037,2.092,379.912,1.609,378.287,1.606,289.662,1.460,0,-0.608,0.912,0,-0.912,135.986,210.004,22.992,39,OFF,Learnt,21.750,34.789,8,102,0,799.812,799.812,53.928,136.035,2.397,19.580,0.860,0,0,1.100,1.452,CAN and Hardwired,82.812,9.550,99.609,0,OFF,7.780,929.254,133,1.177,1.167,1.649
539,121.500,2.402,1.815,2.532,24.750,ON,99.273,95.695,0.402,0.363,Const Drive,1.000,1.000,1.000,1.000,ON,OFF,No Action,Part Load,2372,899.975,2.522,377.537,1.605,380.662,1.610,289.662,1.460,0,-0.608,0.912,0,-0.912,137.183,210.004,22.992,39,OFF,Learnt,21.773,34.609,8,102,0,801.500,801.500,53.647,137.158,2.437,19.588,0.864,0,0,1.100,1.452,CAN and Hardwired,82.812,9.550,99.609,0,OFF,7.783,929.254,133,1.235,1.193,1.648
540,121.375,2.401,1.824,2.531,24.750,ON,99.609,95.586,0.403,0.359,Const Drive,1.000,1.000,1.000,1.000,ON,OFF,No Action,Part Load,2375,899.975,2.446,375.162,1.602,383.037,1.614,290.350,1.461,0,-0.608,0.912,0,-0.912,137.158,210.004,22.992,39,OFF,Learnt,21.797,34.398,8,103,0,799.812,799.812,53.568,137.183,2.515,19.588,0.864,0,0,1.100,1.452,CAN and Hardwired,82.812,9.550,99.609,0,OFF,7.787,929.254,133,1.245,1.161,1.648
541,121.500,2.401,1.827,2.529,24.750,ON,99.945,95.586,0.403,0.355,Const Drive,1.000,1.000,1.000,1.000,ON,OFF,No Action,Part Load,2369,899.975,2.455,373.600,1.599,384.662,1.615,290.350,1.461,0,-0.608,0.912,0,-0.912,137.207,210.004,22.992,39,OFF,Learnt,21.797,34.305,8,103,0,801.500,801.500,55.922,136.975,2.413,19.556,0.864,0,0,1.100,1.452,CAN and Hardwired,82.812,9.550,99.609,0,OFF,7.790,929.254,133,1.268,1.154,1.648
542,125.875,2.400,1.836,2.560,24.750,ON,100.281,95.250,0.406,0.352,Const Drive,1.000,1.000,1.000,1.000,ON,OFF,No Action,Part Load,2370,515.350,1.803,371.225,1.595,385.412,1.617,291.037,1.462,0,-0.608,0.912,0,-0.912,138.422,210.004,23.564,39,OFF,Learnt,21.828,34.094,8,103,0,801.500,801.500,53.288,138.208,2.463,20.172,0.868,0,0,1.100,1.452,CAN and Hardwired,82.812,9.550,99.609,0,OFF,7.794,929.254,133,1.256,1.168,1.648
543,127,2.400,1.840,2.577,24.750,ON,94.461,88.984,0.475,0.415,Const Drive,1.000,1.000,1.000,1.000,ON,OFF,No Action,Part Load,2370,567.850,1.870,369.662,1.593,385.412,1.617,291.037,1.462,0,-0.608,0.912,0,-0.912,140.302,210.004,23.716,39,OFF,Learnt,21.828,34.008,8,103,0,799.812,801.500,53.500,140.021,2.550,20.336,0.872,0,0,1.100,1.452,CAN and Hardwired,82.812,9.550,99.609,0,OFF,7.798,929.254,133,1.272,1.157,1.649
544,128.125,2.400,1.846,2.588,24.750,ON,91.781,84.953,0.519,0.444,Const Drive,1.000,1.000,1.000,1.000,ON,OFF,No Action,Part Load,2371,515.350,1.816,368.912,1.592,384.662,1.616,291.725,1.464,0,-0.608,0.912,0,-0.912,141.034,210.004,23.872,39,OFF,Learnt,21.828,33.852,8,103,0,801.500,799.812,53.503,141.046,2.559,20.472,0.876,0,0,1.100,1.452,CAN and Hardwired,82.812,9.550,99.609,0,OFF,7.805,930.497,133,1.274,1.167,1.649
545,129.375,2.402,1.851,2.601,24.750,ON,90.992,79.703,0.579,0.453,Const Drive,1.000,1.000,1.000,1.000,ON,OFF,No Action,Part Load,2370,494.287,1.775,368.162,1.591,383.850,1.615,292.475,1.465,0,-0.608,0.912,0,-0.912,141.754,210.004,24.036,39,OFF,Learnt,21.773,33.734,8,103,0,801.500,799.812,54.213,141.742,2.439,21.524,0,0,0,1.100,1.452,CAN and Hardwired,82.812,9.550,99.609,0,OFF,7.808,929.254,133,1.257,1.173,1.649
546,130.625,2.401,1.858,2.610,24.750,ON,90.883,79.703,0.579,0.454,Const Drive,1.000,1.000,1.000,1.000,ON,OFF,No Action,Part Load,2369,562.975,1.864,367.412,1.589,382.287,1.613,293.162,1.466,0,-0.608,0.912,0,-0.912,142.487,210.004,24.212,39,OFF,Learnt,21.797,33.555,8,102,0,799.812,799.812,54.352,142.291,2.559,21.672,0,0,0,1.100,1.452,CAN and Hardwired,82.812,9.550,99.609,0,OFF,7.812,929.254,133,1.228,1.179,1.648
547,131.500,2.402,1.862,2.610,24.750,ON,90.883,84.617,0.522,0.454,Const Drive,1.000,1.000,1.000,1.000,ON,OFF,No Action,Part Load,2374,513.475,1.802,367.412,1.589,380.662,1.610,293.850,1.467,0,-0.608,0.912,0,-0.912,142.700,210.004,24.072,39,OFF,Learnt,21.773,33.461,8,102,0,801.500,801.500,54.140,142.743,2.487,21.328,0,0,0,1.100,1.452,CAN and Hardwired,82.812,9.550,99.609,0,OFF,7.816,930.497,133,1.199,1.183,1.648
548,128.250,2.400,1.865,2.589,24.750,ON,90.773,86.969,0.497,0.455,Const Drive,1.000,1.000,1.000,1.000,ON,OFF,No Action,Part Load,2372,503.412,1.777,365.850,1.587,379.100,1.609,294.537,1.469,0,-0.608,0.912,0,-0.912,141.132,210.004,23.856,39,OFF,Learnt,21.828,33.375,8,102,0,798.812,798.812,54.428,141.144,2.415,21.296,0,0,0,1.100,1.452,CAN and Hardwired,82.812,9.550,99.609,0,OFF,7.819,929.254,133,1.248,1.193,1.647
549,132.375,2.400,1.869,2.618,24.750,ON,91.219,88.867,0.476,0.450,Const Drive,1.000,1.000,1.000,1.000,ON,OFF,No Action,Part Load,2370,497.037,1.779,365.100,1.586,377.537,1.605,295.225,1.470,0,-0.608,0.912,0,-0.912,142.786,210.004,24.464,39,OFF,Learnt,21.828,33.281,8,102,0,799.812,801.500,54.216,142.725,2.494,21.920,0,0,0,1.100,1.452,CAN and Hardwired,82.812,9.550,99.609,0,OFF,7.823,929.254,133,1.245,1.184,1.649
550,130.250,2.401,1.874,2.616,24.750,ON,90.773,89.875,0.465,0.455,Const Drive,1.000,1.000,1.000,1.000,ON,OFF,No Action,Part Load,2372,525.662,1.820,365.100,1.586,375.975,1.603,295.912,1.471,0,-0.608,0.912,0,-0.912,142.554,210.004,24.312,39,OFF,Learnt,21.797,33.164,8,102,0,799.812,799.812,54.637,142.383,2.545,22.072,0,0,0,1.100,1.452,CAN and Hardwired,82.812,9.550,99.609,0,OFF,7.826,930.497,133,1.278,1.165,1.648
551,134.750,2.401,1.877,2.627,24.750,ON,90.547,90.773,0.455,0.458,Const Drive,1.000,1.000,1.000,1.000,ON,OFF,No Action,Part Load,2372,494.287,1.775,365.100,1.586,373.600,1.600,297.350,1.472,0,-0.608,0.912,0,-0.912,143.701,210.004,24.752,39,OFF,Learnt,21.797,33.078,8,102,0,799.812,799.812,54.785,143.652,2.480,22.248,0,0,0,1.100,1.452,CAN and Hardwired,82.812,9.550,99.609,0,OFF,7.834,929.254,133,1.224,1.187,1.648
552,140.750,2.400,1.879,2.661,24.750,ON,91.109,91.781,0.444,0.452,Const Drive,1.000,1.000,1.000,1.000,ON,OFF,No Action,Part Load,2369,507.975,1.793,365.100,1.586,372.787,1.598,298.037,1.473,0,-0.608,0.912,0,-0.912,145.813,210.004,25.764,39,OFF,Learnt,21.828,33.047,8,103,0,799.812,799.812,54.636,145.935,2.572,23.276,0,0,0,1.100,1.452,CAN and Hardwired,82.812,9.550,99.609,0,OFF,7.837,929.254,133,1.219,1.195,1.648
553,143.625,2.399,1.882,2.680,24.750,ON,92.336,92.562,0.436,0.438,Const Drive,1.000,1.000,1.000,1.000,ON,OFF,No Action,Part Load,2369,497.037,1.779,365.850,1.587,371.225,1.595,298.725,1.476,0,-0.608,0.912,0,-0.912,147.223,210.004,26.260,39,OFF,Learnt,21.852,32.953,8,103,0,799.812,799.812,55.144,146.936,2.593,23.772,0,0,0,1.100,1.452,CAN and Hardwired,82.812,9.550,99.609,0,OFF,7.841,929.254,133,1.226,1.196,1.647
554,142.125,2.401,1.886,2.678,24.750,ON,93.344,93.570,0.425,0.427,Const Drive,1.000,1.000,1.000,1.000,ON,OFF,No Action,Part Load,2373,509.850,1.796,366.600,1.588,369.662,1.594,300.100,1.477,0,-0.608,0.912,0,-0.912,147.394,210.004,25.992,39,OFF,Learnt,21.797,32.867,8,103,0,801.500,801.500,54.492,147.400,2.603,23.472,0,0,0,1.100,1.452,CAN and Hardwired,82.812,9.550,99.609,0,OFF,7.844,929.254,133,1.235,1.202,1.647
555,140.125,2.401,1.888,2.669,24.750,ON,94.242,94.242,0.417,0.417,Const Drive,1.000,1.000,1.000,1.000,ON,OFF,No Action,Part Load,2372,508.912,1.796,366.600,1.588,368.912,1.592,300.850,1.479,0,-0.608,0.912,0,-0.912,146.625,210.004,25.576,39,OFF,Learnt,21.797,32.805,8,103,0,799.812,799.812,54.497,146.637,2.584,23.012,0,0,0,1.100,1.452,CAN and Hardwired,82.812,9.550,99.609,0,OFF,7.848,929.254,133,1.232,1.190,1.647
556,139.500,2.402,1.888,2.659,24.750,ON,95.023,94.914,0.410,0.409,Const Drive,1.000,1.000,1.000,1.000,ON,OFF,No Action,Part Load,2374,499.787,1.782,366.600,1.588,368.162,1.591,301.537,1.481,0,-0.608,0.912,0,-0.912,145.972,210.004,25.552,39,OFF,Learnt,21.773,32.805,8,103,0,799.812,799.812,54.704,146.008,2.657,23.012,0,0,0,1.100,1.452,CAN and Hardwired,82.812,9.550,99.609,0,OFF,7.852,930.497,133,1.290,1.187,1.647
557,139.625,2.402,1.891,2.663,24.750,ON,95.695,95.469,0.404,0.402,Const Drive,1.000,1.000,1.000,1.000,ON,OFF,No Action,Part Load,2374,497.037,1.781,366.600,1.588,367.412,1.589,302.975,1.483,0,-0.608,0.912,0,-0.912,146.027,210.004,25.576,39,OFF,Learnt,21.773,32.742,8,103,0,801.500,799.812,54.283,145.905,2.672,23.036,0,0,0,1.100,1.448,CAN and Hardwired,82.812,9.550,99.609,0,OFF,7.859,929.254,133,1.296,1.169,1.648
558,134.750,2.401,1.891,2.636,24.750,ON,96.703,94.125,0.419,0.391,Const Drive,1.000,1.000,1.000,1.000,ON,OFF,No Action,Part Load,2374,505.225,1.788,366.600,1.588,366.600,1.588,303.725,1.484,0,-0.608,0.912,0,-0.912,144.251,210.004,24.756,39,OFF,Learnt,21.797,32.742,8,103,0,799.812,801.500,54.430,144.257,2.490,22.196,0,0,0,1.100,1.448,CAN and Hardwired,82.812,9.550,99.609,0,OFF,7.862,929.254,133,1.227,1.184,1.647
559,133.500,2.401,1.891,2.628,24.750,ON,97.594,92,0.442,0.381,Const Drive,1.000,1.000,1.000,1.000,ON,OFF,No Action,Part Load,2378,507.100,1.792,365.850,1.587,365.850,1.587,304.412,1.486,0,-0.608,0.912,0,-0.912,143.732,210.004,24.580,39,OFF,Learnt,21.797,32.742,8,103,0,799.812,799.812,54.422,143.775,2.517,22.004,0,0,0,1.100,1.448,CAN and Hardwired,82.812,9.550,99.609,0,OFF,7.866,929.254,133,1.289,1.180,1.647
560,127.875,2.402,1.893,2.589,24.750,ON,98.156,91.891,0.443,0.375,Const Drive,1.000,1.000,1.000,1.000,ON,OFF,No Action,Part Load,2380,507.100,1.782,365.850,1.587,365.100,1.586,305.162,1.487,0,-0.608,0.912,0,-0.912,141.583,210.004,23.744,39,OFF,Learnt,21.773,32.688,8,103,0,798.812,799.812,54.143,141.681,2.529,21.156,0,0,0,1.100,1.448,CAN and Hardwired,82.812,9.550,99.609,0,OFF,7.870,930.497,133,1.279,1.157,1.647
561,124,2.401,1.895,2.541,24.750,ON,98.492,92.672,0.435,0.371,Const Drive,1.000,1.000,1.000,1.000,ON,OFF,No Action,Part Load,2382,523.787,1.829,364.350,1.584,365.100,1.586,306.600,1.489,0,-0.608,0.912,0,-0.912,138.989,210.004,22.932,39,OFF,Learnt,21.797,32.656,8,103,0,799.812,799.812,53.713,139.056,2.473,19.160,0.960,0,0,1.100,1.448,CAN and Hardwired,82.812,9.550,99.609,0,OFF,7.873,929.254,133,1.257,1.161,1.647
